date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:46	30243/30243	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:45%20GMT	https://tecate.com/revive-el-tecate-residence-r44	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/revive-el-tecate-residence-r44.html	(from https://tecate.com/)
13:17:47	111969/111969	---M--	200	added ('OK')	application/octet-stream	etag:0x8D732E18A2C3F35	https://sttecatesite.blob.core.windows.net/site2019/132122584552511503_260619_TECATE_RESIDENCE_1500x550_v2.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132122584552511503_260619_TECATE_RESIDENCE_1500x550_v2.jpg	(from https://tecate.com/)
13:17:47	32160/32160	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:47%20GMT	https://tecate.com/revive-el-tecate-food-truck-fest	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/revive-el-tecate-food-truck-fest.html	(from https://tecate.com/)
13:17:49	326466/326466	---M--	200	added ('OK')	application/octet-stream	etag:0x8D72B3615F0E88A	https://sttecatesite.blob.core.windows.net/site2019/132114151591124592_2.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132114151591124592_2.png	(from https://tecate.com/)
13:17:49	29914/29914	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:49%20GMT	https://tecate.com/revive-el-tecate-location	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/revive-el-tecate-location.html	(from https://tecate.com/)
13:17:50	31868/31868	---M--	200	added ('OK')	application/octet-stream	etag:0x8D72B273532C549	https://sttecatesite.blob.core.windows.net/site2019/132114087691444133_2.0260619_TECATE_LOCATION_1500x550_v1.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132114087691444133_2.0260619_TECATE_LOCATION_1500x550_v1.jpg	(from https://tecate.com/)
13:17:51	30143/30143	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:50%20GMT	https://tecate.com/revive-el-tecate-supremo	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/revive-el-tecate-supremo.html	(from https://tecate.com/)
13:17:52	68168/68168	---M--	200	added ('OK')	application/octet-stream	etag:0x8D71CFDE60497EC	https://sttecatesite.blob.core.windows.net/site2019/132098517097545694_200619_TECATE_SUPREMO_1300x550_v3.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132098517097545694_200619_TECATE_SUPREMO_1300x550_v3.jpg	(from https://tecate.com/)
13:17:53	30362/30362	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:52%20GMT	https://tecate.com/revive-el-tecate-pal-norte	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/revive-el-tecate-pal-norte.html	(from https://tecate.com/)
13:17:54	105466/105466	---M--	200	added ('OK')	application/octet-stream	etag:0x8D71CFF7B10B8D0	https://sttecatesite.blob.core.windows.net/site2019/132098523901579628_200619_TECATE_PALNORTE_1300x550_v3.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132098523901579628_200619_TECATE_PALNORTE_1300x550_v3.jpg	(from https://tecate.com/)
13:17:55	30341/30341	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:54%20GMT	https://tecate.com/nada-puede-competir-contra-la-amistad	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/nada-puede-competir-contra-la-amistad.html	(from https://tecate.com/)
13:17:56	2086369/2086369	---M--	200	added ('OK')	application/octet-stream	etag:0x8D8B3468CCD0715	https://sttecatesite.blob.core.windows.net/site2019/132545230854413655_TKT_TN_1500x500.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132545230854413655_TKT_TN_1500x500.png	(from https://tecate.com/)
13:17:56	54712/54712	---M--	200	added ('OK')	application/octet-stream	etag:0x8D71CFF9D7E0215	https://sttecatesite.blob.core.windows.net/site2019/132098524479766269_200619_TECATE_FUTBOL_1300x550_v3.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132098524479766269_200619_TECATE_FUTBOL_1300x550_v3.jpg	(from https://tecate.com/)
13:17:57	30025/30025	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:56%20GMT	https://tecate.com/un-round-entre-amigos	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/un-round-entre-amigos.html	(from https://tecate.com/)
13:17:58	117788/117788	---M--	200	added ('OK')	application/octet-stream	etag:0x8D6FB24939A34C4	https://sttecatesite.blob.core.windows.net/site2019/132061299828438279_200619_TECATE_UNDERSTAND_1300x550_v1.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132061299828438279_200619_TECATE_UNDERSTAND_1300x550_v1.jpg	(from https://tecate.com/)
13:17:59	29825/29825	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:17:58%20GMT	https://tecate.com/siempre-tirando-esquina	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/siempre-tirando-esquina.html	(from https://tecate.com/)
13:18:00	94550/94550	---M--	200	added ('OK')	application/octet-stream	etag:0x8D6FA53FC9F184D	https://sttecatesite.blob.core.windows.net/site2019/132060403941874262_200619_TECATE_BOX_1300x550_v1.jpg	C:/Users/Quantumsys/Downloads/httrack/tecate3/sttecatesite.blob.core.windows.net/site2019/132060403941874262_200619_TECATE_BOX_1300x550_v1.jpg	(from https://tecate.com/)
13:18:00	53138/53138	---M--	200	added ('OK')	image/png	etag:%221d71794bc27e912%22	https://tecate.com/img/Logo-Nuevo-800-cerveza_W.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/Logo-Nuevo-800-cerveza_W.png	(from https://tecate.com/)
13:18:01	28250/28250	---MCZ	200	added ('OK')	text/html	date:Tue,%2016%20Mar%202021%2019:18:01%20GMT	https://tecate.com/terminos-y-condiciones	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/terminos-y-condiciones.html	(from https://tecate.com/)
13:18:02	8180/8180	---MCZ	200	added ('OK')	text/html	etag:%221d7179563a446f4%22	https://tecate.com/xeerpa/widget/index.html	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/xeerpa/widget/index.html	(from https://tecate.com/)
13:18:02	2158/2158	---M--	200	added ('OK')	image/png	etag:%221d71794b6c9d46e%22	https://tecate.com/img/heineken.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/heineken.png	(from https://tecate.com/)
13:18:03	1735/1735	---M--	200	added ('OK')	image/png	etag:%221d71794d19c5647%22	https://tecate.com/img/responsible_consumption.png	C:/Users/Quantumsys/Downloads/httrack/tecate3/tecate.com/img/responsible_consumption.png	(from https://tecate.com/)
